M,dt,rel_error_vs_exact,rel_error_vs_dt_ref,order_self
400,0.005,2.1760340818019487e-07,2.187719634778509e-07,
400,0.0025,1.1437313489901729e-07,5.453261548966722e-08,2.0042366060321513
400,0.00125,1.1376843663960683e-07,1.3472766112512817e-08,2.017073268605805
400,0.000625,1.1591210245673684e-07,3.2077994969323766e-09,2.0703902086862356
