h,n_particles,dt,M,rel_error,mass_error
0.02,4000,0.002,100,0.006086421615668405,4.440892098500626e-16
0.02,4000,0.002,200,0.006051067712251241,4.440892098500626e-16
0.02,4000,0.002,400,0.006042235555350474,6.661338147750939e-16
0.02,4000,0.002,800,0.006040026525073972,2.220446049250313e-16
