mode,forward_residual,tikhonov_residual,cutoff_residual_relative
5,9.992007221626409e-16,4.052314039881821e-15,1.609823385706477e-15
25,8.869044821474548e-16,3.275157922644212e-14,8.326672684688674e-15
60,9.375984023686026e-16,3.2842394912034247e-14,3.375077994860476e-14
