eta,delta_nominal,particle_oracle_mean,particle_oracle_std,particle_oracle_p10,particle_oracle_p90,tik_oracle_mean,tik_oracle_std,tik_oracle_p10,tik_oracle_p90,particle_disc_tau1.0_mean,particle_disc_tau1.0_std,particle_disc_tau1.0_p10,particle_disc_tau1.0_p90,tik_disc_tau1.0_mean,tik_disc_tau1.0_std,tik_disc_tau1.0_p10,tik_disc_tau1.0_p90,particle_disc_factor_tau1.0_mean,tik_disc_lambda_tau1.0_gmean,particle_disc_tau1.2_mean,particle_disc_tau1.2_std,particle_disc_tau1.2_p10,particle_disc_tau1.2_p90,tik_disc_tau1.2_mean,tik_disc_tau1.2_std,tik_disc_tau1.2_p10,tik_disc_tau1.2_p90,particle_disc_factor_tau1.2_mean,tik_disc_lambda_tau1.2_gmean,particle_oracle_factor_mean,tik_oracle_lambda_gmean
0.001,0.0024151877656439966,0.02514014030876903,0.0016407689289848193,0.02429292681366302,0.02578112583915312,0.0038906045582658526,0.0009120771631511529,0.002625288505180821,0.005125057564384036,0.03056111558334718,0.005937914686419206,0.02429292681366302,0.0370447950956528,0.16534437899079002,0.37378070000666286,0.004891911881077974,0.8753743923749326,4.0,3.556140790094778e-05,0.03056111558334718,0.005937914686419206,0.02429292681366302,0.0370447950956528,0.003846434266679774,0.0008886589799943261,0.0026092414223510543,0.0050536648444548,4.0,0.0010499921644920058,5.44,0.0010000000000000002
0.005,0.012075938828219984,0.027325726254496207,0.0009430880242715723,0.02617434565539448,0.02801479370963126,0.01604694469556921,0.0023954294254848896,0.012892229312119774,0.018503689541345136,0.1234741306806286,0.026487612837176384,0.09438389948724885,0.14858330713870543,0.8117561817054032,1.8764815589989845,0.012149036228815021,4.386242772097256,4.0,0.00013741910262364345,0.1234741306806286,0.026487612837176384,0.09438389948724885,0.14858330713870543,0.012604116881376675,0.0026830671441457903,0.008965638786347698,0.015877406326264547,4.0,0.003050698540567484,6.0,0.004365158322401665
0.01,0.024151877656439967,0.031887494763043776,0.002313623746729114,0.02921786861194324,0.03425677406459668,0.020903728813946566,0.002493091650418024,0.017601072611956505,0.024459992886853778,0.22208279549970217,0.04726651988741459,0.17204984543999158,0.2828412461915175,1.6232007164455304,3.7537085781633266,0.01848076098098403,8.775082083604383,4.0,0.00019846633811354905,0.11074004734177788,0.11086984119779947,0.02921786861194324,0.27639154588068116,0.020923665750312872,0.002466010025543951,0.01782733867011023,0.024459992886853778,5.28,0.010000000000000005,6.0,0.009120108393559105
