case,$h$,$N=1000$,$N=2000$,$N=4000$,$N=8000$,$N=10000$,relative change 4000 to 10000
C1,0.028,0.0252798454436636,0.0252499586609014,0.0252509344985103,0.0252503948306592,0.0252508232162878,4.4070536284746e-06
H,0.014,0.0456210325860956,0.0456188595606573,0.0456178160275058,0.045617705386892,0.0456177657951594,1.1011563194607277e-06
