case,closure,"wrong transport, closure","wrong transport, score regularization","wrong transport, particle discretization","closure, score regularization","closure, particle discretization","score regularization, particle discretization"
G1,frozen-left,-8.90416735328226e-07,7.339976418804925e-08,3.3968295487836582e-06,-5.123755432922617e-07,-5.380313884217724e-06,1.27794686930524e-08
G1,mass,0.0,7.00782789789533e-08,3.7550354067254464e-06,0.0,0.0,5.340677373376482e-09
G2,frozen-left,-6.03865759480148e-08,-3.826459138257709e-07,7.861214226922875e-07,-1.772770875317912e-07,-6.077553239043834e-07,4.705372551177858e-09
G2,mass,0.0,-3.81327121750054e-07,5.206538210551689e-07,0.0,0.0,3.171668724189865e-09
GB,frozen-left,-8.140054300251384e-05,-2.1544154556527965e-05,5.478330506917949e-07,-3.646919402606688e-05,-5.9957537806508604e-09,1.395586233890919e-09
GB,mass,0.0,-2.818613794151123e-05,-1.2029508360751557e-05,0.0,0.0,7.877280649288776e-08
