case,closure,$u$: $M=200$,$M=400$,$M=800$,$q$: $M=200$,$M=400$ ,$M=800$ 
G1,frozen-left,0.0011744229908876183,0.0006791895458277453,0.0003620080674548877,0.1624981214615456,0.14895704446583244,0.14234677397512693
G1,mass,0.0011583363088493973,0.0006438970261224849,0.00036805569952446174,0.16293302375856972,0.14961248768723623,0.1429847507811197
G2,frozen-left,0.0011285021512930015,0.0006467513774037012,0.0003861538835597849,0.19648566747263058,0.17846981508921908,0.1693223586844613
G2,mass,0.0011184396917072793,0.0006262832531938928,0.00038611107913110235,0.19720433773347443,0.17913484998862028,0.16991120534535448
GB,frozen-left,0.01042992453822256,0.005260558256573355,0.002634513835878631,0.33276972167489316,0.3348148817517894,0.3350534130320609
GB,mass,0.010261635367742366,0.0051710995361317,0.0025106734337636506,0.31925563460022705,0.3194736650036373,0.32016580624570146
