$a$,$N$,particle $e_k$,$K_h\rho$: $e_k$,rel. diff.,particle $e_{2k}$,$K_h\rho$: $e_{2k}$,rel. diff. 
0.35,4000,-0.0223955743141489,-0.022268588865897665,0.005702447021494977,0.0066543224924514,0.0065306853819861975,0.018931720521437854
0.35,10000,-0.022395573373744,-0.022268588865897665,0.005702404791387562,0.0066543057251421,0.0065306853819861975,0.018929153055954686
0.6,4000,-0.0390036252924159,-0.03878950322259744,0.005520103430809433,0.0209132058687888,0.020540056217685253,0.018166924527804315
0.6,10000,-0.0390036449986319,-0.03878950322259744,0.005520611460414586,0.0209137447461636,0.020540056217685253,0.018193159965969215
