$a$,$kh$,$e_k$,$e_{2k}$,$e_{2k}/|e_k|$,low-order $e_{2k}/|e_k|$,harmonic dominant
0.35,0.23,-0.0081453949567367,0.0062038397928582,0.7616376892476251,0.7601936683619211,False
0.5,0.23,-0.0118501498335854,0.0131827621281529,1.1124553118130747,1.1031770441206628,True
0.55,0.23,-0.0131477392001672,0.0162582517265489,1.236581550563624,1.221119308033812,True
0.6,0.23,-0.0144954202295724,0.0197989437883614,1.365875805930012,1.3411265277135649,True
0.35,0.264,-0.0106464770927038,0.007507510329289,0.7051638080763839,0.704547055373595,False
0.5,0.264,-0.0154765886031432,0.0158681014153566,1.0252971001719258,1.0216725807497467,True
0.55,0.264,-0.0171576361316341,0.0194973314092664,1.136364663505046,1.13057363450483,True
0.6,0.264,-0.0188876845373944,0.0236123278337365,1.250144123647772,1.2412988629062027,True
0.35,0.29,-0.0127595475591786,0.0084430006541981,0.6617006296688486,0.6613748784876705,False
0.5,0.29,-0.0185397775352,0.0177998763920564,0.9600911531037086,0.958237867720286,False
0.55,0.29,-0.0205467824597864,0.0218398821969266,1.062934415141204,1.0600152336291389,True
0.6,0.29,-0.0226072719225195,0.0264006400865587,1.1677941583150757,1.163405948673864,True
