case,0.005,0.007,0.01,0.014,0.02,0.028,0.04,$h_{\mathrm{or}}$
C1,0.6103465865726054,0.643154650260973,0.5682527019741203,0.6365325146762892,0.3781317257566453,0.0252509344985103,0.0435420108037106,0.028
C2,0.7552459758236816,0.676431302750148,0.6213677223074628,0.5535550940539022,0.2408056831938319,0.0030958347245751,0.0062268746160018,0.028
B,0.5233163003886317,0.6845024478834837,0.0280959753704618,0.0179985928293913,0.0351374887968539,0.0647799306592354,0.1182311129835972,0.014
H,0.6469154236155072,0.6327742859521777,0.0404050265451056,0.0456178160275058,0.0826660094505037,0.1367112866510541,0.2137246132717628,0.01
Z,0.0559359274971144,0.0126907184758476,0.0225330167586809,0.0421506635435396,0.0795551332815109,0.137947925732991,0.2294938958696976,0.007
VB05,0.610836885019949,0.459496000618852,0.1067821406167003,0.0190157698084955,0.0363944581591098,0.066994366349492,0.1218916004923884,0.014
VB09,0.5507364658508813,0.6052203121938201,0.2496692141924953,0.020357086738281,0.0370030420386506,0.0681503007693808,0.1239835265169861,0.014
VH05,0.5868666299377701,0.4241035037633893,0.1178218012505322,0.0480966883587722,0.0871231711963977,0.1435854300730802,0.221821097052606,0.014
VH09,0.5728825411091175,0.4637337494310163,0.2651490602632825,0.0490211603326,0.0888479154260797,0.1469296068374979,0.2261755565559697,0.014
