case,closure,total,$\|e_1\|$,$\|e_2\|$,$\|e_3\|$,$\|e_4\|$
G1,frozen-left,0.0687089560513697,0.06530014960255624,0.021480536131837098,2.9766796156036056e-05,0.0014131453364263592
G1,mass,0.06537278460603137,0.06530014960255624,0.0,1.7661843438265982e-05,0.001352851937011779
G2,frozen-left,0.053653715391362114,0.05286376114367206,0.009196542086890643,3.036414436661872e-05,0.0006641542868903034
G2,mass,0.052870441422663096,0.05286376114367206,0.0,2.3354167215680786e-05,0.0006486846836894195
GB$^{*}$,frozen-left,0.06501209108953056,0.05695422921739735,0.03543303342416096,0.0015305049479026028,0.0016391389374439836
GB,mass,0.0562800105265795,0.05695422921739735,0.0,0.0010050336706217842,0.0017085120533722208
