reference grid $M$,$\Delta t$,$\|U_{\mathrm{wrong}} - u\|_2$ at $\tau = 0.005$,ratio to $c_{\mathrm{rep}}\tau$,within band
6400,6.25e-05,0.0003070620785017,1.0003715186350088,True
12800,3.125e-05,0.0003070480286109,1.0003257457713337,True
