case,closure,$h=0.02$,$h=0.014$,$h=0.01$,$h=0.007$,slope in $h$
G1,frozen-left,2.891626380991878e-05,1.4306737785569102e-05,7.424309662386672e-06,3.7675658098829794e-06,1.9420303837954849
G1,mass,1.713463156234793e-05,8.406241033571156e-06,4.292428679008762e-06,2.1053889505480334e-06,1.9971437979177258
G2,frozen-left,5.98062126184455e-05,2.956912690887032e-05,1.530348527090177e-05,7.720417902218451e-06,1.9507761965962434
G2,mass,4.591291648621575e-05,2.2547726431216317e-05,1.1519489643186281e-05,5.6522209981879736e-06,1.995353396194984
GB,frozen-left,0.009715030227666234,0.004925885458540171,0.0025556073916636877,0.001264000692840889,1.9433219752899826
GB,mass,0.006033639447102246,0.003045768254303903,0.0015766132743328307,0.0007787887138562655,1.9508352768390032
