case,closure,total,wrong transport,closure offset,score regularization,particle discretization
G1,frozen-left,0.3745521254030969,0.2216273013464943,0.0006264431092287566,0.00011640540679481311,0.30150970043398
G1,mass,0.37548472753610174,0.2216273013464943,0.0,0.00011472199402124094,0.3028159869832572
G2,frozen-left,0.337433550706991,0.28561996979388865,0.0003037052107875989,0.00019310081198227813,0.18013858553768636
G2,mass,0.3378806925648042,0.28561996979388865,0.0,0.00019165009900637251,0.18080070018135094
GB,frozen-left,1.0907247019218236,0.6333471137374813,0.07878734129129214,0.020601194445080333,0.9168454254032281
GB,mass,1.0692809098360776,0.6333471137374813,0.0,0.020508367775395796,0.8610169285888974
