case,$h$,$\epsilon_{\mathrm{rel}}=1e-10$,$\epsilon_{\mathrm{rel}}=1e-08$,$\epsilon_{\mathrm{rel}}=1e-06$,$\epsilon_{\mathrm{rel}}=0.0001$,min reconstructed density
C1,0.028,0.0252509308466251,0.0252509344985103,0.025251299682103,0.0252878029145526,0.563187766635121
Z,0.014,0.042150663493615,0.0421506635435396,0.0421506685363427,0.0421511699809764,-8.326672684688674e-16
