test,n_grid,n_particles,score_method,bandwidth_factor,epsilon,step,score_L2_error_vs_oracle,score_core_L2_error_vs_oracle,score_Linf_error_vs_oracle,score_core_Linf_error_vs_oracle,max_abs_score,mean_abs_score,score_std,n_denom_below_eps,n_clipped,mass,epsilon_actual
B,400,5000,oracle,4.0,0.0,39,0.0,0.0,0.0,0.0,40.06321192027032,,10.769325428873506,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,40,0.0,0.0,0.0,0.0,40.109797050410165,,10.781847900302429,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,41,0.0,0.0,0.0,0.0,40.15654506562042,,10.794414156596485,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,42,0.0,0.0,0.0,0.0,40.2034569173326,,10.807024453508397,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,43,0.0,0.0,0.0,0.0,40.250533564776795,,10.819679048887217,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,44,0.0,0.0,0.0,0.0,40.297775975064084,,10.832378202700461,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,45,0.0,0.0,0.0,0.0,40.34518512327004,,10.84512217705658,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,46,0.0,0.0,0.0,0.0,40.39276199251918,,10.857911236227638,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,47,0.0,0.0,0.0,0.0,40.44050757407063,,10.87074564667235,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,48,0.0,0.0,0.0,0.0,40.48842286740484,,10.883625677059404,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,49,0.0,0.0,0.0,0.0,40.5365088803115,,10.896551598291065,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,50,0.0,0.0,0.0,0.0,40.584766628978535,,10.909523683527125,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,51,0.0,0.0,0.0,0.0,40.63319713808233,,10.92254220820914,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,52,0.0,0.0,0.0,0.0,40.681801440879084,,10.935607450084989,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,53,0.0,0.0,0.0,0.0,40.7305805792974,,10.94871968923377,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,54,0.0,0.0,0.0,0.0,40.77953560403213,,10.961879208091021,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,55,0.0,0.0,0.0,0.0,40.828667574639404,,10.975086291474266,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,56,0.0,0.0,0.0,0.0,40.877977559632924,,10.988341226608895,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,57,0.0,0.0,0.0,0.0,40.92746663658164,,11.001644303154428,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,58,0.0,0.0,0.0,0.0,40.97713589220855,,11.01499581323107,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,59,0.0,0.0,0.0,0.0,41.02698642249105,,11.02839605144668,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,60,0.0,0.0,0.0,0.0,41.07701933276238,,11.041845314924053,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,61,0.0,0.0,0.0,0.0,41.127235737814665,,11.055343903328607,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,62,0.0,0.0,0.0,0.0,41.17763676200316,,11.068892118896413,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,63,0.0,0.0,0.0,0.0,41.228223539352065,,11.082490266462624,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,64,0.0,0.0,0.0,0.0,41.27899721366161,,11.096138653490286,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,65,0.0,0.0,0.0,0.0,41.32995893861676,,11.109837590099536,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,66,0.0,0.0,0.0,0.0,41.381109877897224,,11.123587389097182,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,67,0.0,0.0,0.0,0.0,41.432451205289155,,11.137388366006734,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,68,0.0,0.0,0.0,0.0,41.48398410479821,,11.15124083909878,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,69,0.0,0.0,0.0,0.0,41.5357097707643,,11.165145129421846,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,70,0.0,0.0,0.0,0.0,41.58762940797775,,11.179101560833622,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,71,0.0,0.0,0.0,0.0,41.639744231797266,,11.193110460032662,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,72,0.0,0.0,0.0,0.0,41.69205546826938,,11.207172156590493,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,73,0.0,0.0,0.0,0.0,41.74456435424957,,11.221286982984182,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,74,0.0,0.0,0.0,0.0,41.79727213752514,,11.235455274629365,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,75,0.0,0.0,0.0,0.0,41.85018007693973,,11.249677369913707,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,76,0.0,0.0,0.0,0.0,41.9032894425196,,11.263953610230857,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,77,0.0,0.0,0.0,0.0,41.956601515601676,,11.278284340014864,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,78,0.0,0.0,0.0,0.0,42.01011758896342,,11.292669906775087,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,79,0.0,0.0,0.0,0.0,42.063838966954414,,11.307110661131578,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,80,0.0,0.0,0.0,0.0,42.11776696563,,11.321606956850976,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,81,0.0,0.0,0.0,0.0,42.17190291288659,,11.336159150882919,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,82,0.0,0.0,0.0,0.0,42.22624814859907,,11.350767603396944,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,83,0.0,0.0,0.0,0.0,42.280804024760045,,11.365432677819937,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,84,0.0,0.0,0.0,0.0,42.33557190562112,,11.380154740874108,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,85,0.0,0.0,0.0,0.0,42.390553167836224,,11.394934162615503,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,86,0.0,0.0,0.0,0.0,42.44574920060685,,11.409771316473075,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,87,0.0,0.0,0.0,0.0,42.50116140582957,,11.424666579288315,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,88,0.0,0.0,0.0,0.0,42.556791198245584,,11.439620331355446,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,89,0.0,0.0,0.0,0.0,42.61264000559236,,11.454632956462213,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,90,0.0,0.0,0.0,0.0,42.66870926875762,,11.469704841931241,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,91,0.0,0.0,0.0,0.0,42.7250004419354,,11.48483637866202,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,92,0.0,0.0,0.0,0.0,42.78151499278452,,11.500027961173478,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,93,0.0,0.0,0.0,0.0,42.83825440258928,,11.515279987647185,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,94,0.0,0.0,0.0,0.0,42.895220166422504,,11.53059285997118,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,95,0.0,0.0,0.0,0.0,42.95241379331107,,11.545966983784478,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,96,0.0,0.0,0.0,0.0,43.00983680640373,,11.561402768522155,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,97,0.0,0.0,0.0,0.0,43.06749074314153,,11.576900627461194,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,98,0.0,0.0,0.0,0.0,43.1253771554307,,11.59246097776692,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,99,0.0,0.0,0.0,0.0,43.183497609818076,,11.608084240540194,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,100,0.0,0.0,0.0,0.0,43.24185368766918,,11.623770840865246,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,101,0.0,0.0,0.0,0.0,43.30044698534894,,11.639521207858289,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,102,0.0,0.0,0.0,0.0,43.359279114405126,,11.655335774716793,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,103,0.0,0.0,0.0,0.0,43.418351701754446,,11.671214978769541,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,104,0.0,0.0,0.0,0.0,43.4776663898716,,11.687159261527423,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,105,0.0,0.0,0.0,0.0,43.53722483698102,,11.703169068734994,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,106,0.0,0.0,0.0,0.0,43.597028717251604,,11.719244850422816,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,107,0.0,0.0,0.0,0.0,43.65707972099437,,11.73538706096059,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,108,0.0,0.0,0.0,0.0,43.71737955486314,,11.75159615911109,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,109,0.0,0.0,0.0,0.0,43.77792994205824,,11.767872608084927,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,110,0.0,0.0,0.0,0.0,43.83873262253333,,11.784216875596154,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,111,0.0,0.0,0.0,0.0,43.89978935320537,,11.800629433918711,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,112,0.0,0.0,0.0,0.0,43.961101908167954,,11.81711075994374,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,113,0.0,0.0,0.0,0.0,44.02267207890768,,11.833661335237776,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,114,0.0,0.0,0.0,0.0,44.084501674524134,,11.850281646101873,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,115,0.0,0.0,0.0,0.0,44.14659252195304,,11.866972183631596,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,116,0.0,0.0,0.0,0.0,44.20894646619309,,11.883733443777967,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,117,0.0,0.0,0.0,0.0,44.27156537053614,,11.900565927409382,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,118,0.0,0.0,0.0,0.0,44.334451116801105,,11.917470140374451,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,119,0.0,0.0,0.0,0.0,44.39760560557148,,11.934446593565868,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,120,0.0,0.0,0.0,0.0,44.46103075643658,,11.951495802985248,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,121,0.0,0.0,0.0,0.0,44.52472850823663,,11.968618289809008,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,122,0.0,0.0,0.0,0.0,44.58870081931168,,11.985814580455287,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,123,0.0,0.0,0.0,0.0,44.65294966775449,,12.003085206651908,0.0,0.0,,0.0
