test,n_grid,method_name,method_type,score_method,n_particles,recon_method,bandwidth_factor,bandwidth_used,epsilon,smooth_sigma_factor,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds,max_score_L2_error_vs_oracle,mean_score_L2_error_vs_oracle,max_abs_score_final,n_denom_below_eps_total,n_clipped_total
B,400,density_particle_oracle_deterministic,density_particle_oracle,oracle,5000,kde,4.0,0.0100250626566416,0.0,,True,,,0.0047098304294971,0.0069408167327759,0.0026136235759168,0.0079891159798365,0.0018551283856938,0.0005121043355924,-1.8213145349162763e-05,1.983901228893472,0.991932370007808,0.9920102567133604,0.992008353757507,0.4000000028301109,0.0806445452953594,True,0.0001068563942651,0.2005265520805245,0.2005302043662835,0.0195000419626012,0.0,0.0,46.42747293142777,0,0
B,400,density_est_smoothed_log_raw,density_particle_smoothed_log,smoothed_log,5000,kde,1.0,0.0025062656641604,0.0,1.0,True,,,0.002195821177878,1.1105612033406476,0.4181912670079667,2.3508884545814888,0.0289747966694831,0.0103117046774796,-1.821423758109301e-05,60.81269547298,3.0202713667652628,3.020508519008444,0.8700520899140262,0.4001992122943982,0.0916832999625908,True,0.4154200286001739,0.200526551861499,0.2005302043662835,1.4276042920537293,2609.91661045691,2605.9274629977126,0.5308455772592097,8700,0
B,400,density_est_smoothed_log_eps=1e-10,density_particle_smoothed_log,smoothed_log,5000,kde,1.0,0.0025062656641604,1e-10,1.0,True,,,0.002195821177878,1.1105612034251495,0.4181912670397868,2.350888440404768,0.0289747967060427,0.0103117046880843,-1.8214237581231417e-05,60.81269550198106,3.020271352588542,3.02050850483061,0.8700520937597642,0.4001992123277446,0.0916832997254343,True,0.4154200286229353,0.2005265518614989,0.2005302043662835,1.382305749983061,357.38844710353993,315.495892622148,0.5308460989867966,15300,0
B,400,density_est_smoothed_log_eps=1e-08,density_particle_smoothed_log,smoothed_log,5000,kde,1.0,0.0025062656641604,1e-08,1.0,True,,,0.002195821177878,1.1105612034981915,0.4181912670672913,2.350888339573385,0.0289747967390375,0.0103117047032003,-1.821423758289235e-05,60.81269469767883,3.020271251757159,3.0205084039913097,0.8700520906543754,0.4001992122546469,0.0916833000015647,True,0.4154200286346913,0.2005265518614986,0.2005302043662835,1.401012666989118,339.4761368173,293.84018317167994,0.5308977555785558,15828,0
B,400,density_est_smoothed_log_eps=1e-06,density_particle_smoothed_log,smoothed_log,5000,kde,1.0,0.0025062656641604,1e-06,1.0,True,,,0.002195821177878,1.1105612167057124,0.4181912720406956,2.3508797932263668,0.0289748000209897,0.0103117092315092,-1.8214237721303297e-05,60.81262743494211,3.0202627054101407,3.02049985697323,0.8700520556566445,0.4001992061856022,0.0916833044698381,True,0.4154200322579495,0.2005265518614709,0.2005302043662835,1.4842682920279913,323.6890277805767,274.2206342086083,0.5361191995088922,17006,0
B,400,density_est_smoothed_log_eps=1e-04,density_particle_smoothed_log,smoothed_log,5000,kde,1.0,0.0025062656641604,0.0001,1.0,True,,,0.002195821177878,1.1105955520050708,0.4182042012897083,2.3503153218823516,0.0289751921528967,0.0103091075315098,-1.8214239932141363e-05,60.81130035625147,3.0196982340661256,3.0199353413068257,0.8700397647562592,0.4001962088690551,0.0916871809293149,True,0.4154322558215738,0.2005265518610275,0.2005302043662835,1.5071101250359789,290.98193849120065,237.43131726606728,2.435865715714752,20077,0
B,400,density_est_smoothed_log_raw,density_particle_smoothed_log,smoothed_log,5000,kde,2.0,0.0050125313283208,0.0,1.0,True,,,0.0016052759265368,0.7888956175547542,0.297065354750251,1.2601015657131938,0.0055512878428941,0.0045745763796242,-1.8213145349301175e-05,29.48330426188581,2.0738437004649284,2.07400653903996,0.9852769447001606,0.4004044416131045,0.0803648075030282,True,0.2966512839542159,0.2005265520805244,0.2005302043662835,1.4807424169848673,1792.7875848405515,1790.924930508562,155.05032578759665,2850,0
B,400,density_est_smoothed_log_eps=1e-10,density_particle_smoothed_log,smoothed_log,5000,kde,2.0,0.0050125313283208,1e-10,1.0,True,,,0.0016052759265368,0.7888956156440827,0.2970653540307714,1.2601015640240627,0.0055512878026477,0.0045745763452266,-1.8213145349301175e-05,29.483304193083768,2.0738436957011728,2.07400653427583,0.9852769452602744,0.4004044416310142,0.0803648074875845,True,0.2966512832360155,0.2005265520805244,0.2005302043662835,1.3514790839981288,183.91774412958617,153.84219376011433,155.05032554524817,13500,0
B,400,density_est_smoothed_log_eps=1e-08,density_particle_smoothed_log,smoothed_log,5000,kde,2.0,0.0050125313283208,1e-08,1.0,True,,,0.0016052759265368,0.7888954757884631,0.2970653013669482,1.2601014721845192,0.005551284234231,0.0045745730864011,-1.8213145349301175e-05,29.483299140864037,2.0738436090593613,2.0740064476272155,0.9852769440000366,0.4004044428998713,0.0803648089716395,True,0.296651230642605,0.2005265520805244,0.2005302043662835,1.356904125015717,167.1128613003288,132.06686887487635,155.05029846180005,14100,0
B,400,density_est_smoothed_log_eps=1e-06,density_particle_smoothed_log,smoothed_log,5000,kde,2.0,0.0050125313283208,1e-06,1.0,True,,,0.0016052759265368,0.788859918535,0.2970519119807241,1.2600922851692071,0.005554686083291,0.004577982775087,-1.8213145349301175e-05,29.48112577708116,2.073834863507769,2.073997701388921,0.9852969618647228,0.4004026050225236,0.0803607946345312,True,0.2966379069449756,0.2005265520805244,0.2005302043662835,1.3615305419662036,153.02672811049726,112.2211199538082,155.0475045389719,15361,0
