method,eta,seed,rel_L2
tikhonov_optimal,0.005,3,0.015877556185721668
smoothed_log_bw4,0.005,4,0.14405800600477633
smoothed_log_bw6,0.005,4,0.027408504821128953
fd_grid_ratio_bw4,0.005,4,0.5744895212533072
tikhonov_optimal,0.005,4,0.017419557994983837
smoothed_log_bw4,0.005,5,0.12957566045683602
smoothed_log_bw6,0.005,5,0.027944550633595744
fd_grid_ratio_bw4,0.005,5,0.5609204250172896
tikhonov_optimal,0.005,5,0.018678537350719115
smoothed_log_bw4,0.005,6,0.13530225701814286
smoothed_log_bw6,0.005,6,0.026427960385021092
fd_grid_ratio_bw4,0.005,6,0.4751258743771971
tikhonov_optimal,0.005,6,0.016541817423816732
smoothed_log_bw4,0.005,7,0.12169771150696046
smoothed_log_bw6,0.005,7,0.027561941841503127
fd_grid_ratio_bw4,0.005,7,0.5919156638855225
tikhonov_optimal,0.005,7,0.01806170173073397
smoothed_log_bw4,0.005,8,0.14788598420436175
smoothed_log_bw6,0.005,8,0.02735386822185996
fd_grid_ratio_bw4,0.005,8,0.47293344797208997
tikhonov_optimal,0.005,8,0.01679854031755483
smoothed_log_bw4,0.005,9,0.11857978752992085
smoothed_log_bw6,0.005,9,0.027735789496388403
fd_grid_ratio_bw4,0.005,9,0.5544215167773301
tikhonov_optimal,0.005,9,0.01738425434380898
smoothed_log_bw4,0.005,10,0.10961977200571113
smoothed_log_bw6,0.005,10,0.030062387199572826
fd_grid_ratio_bw4,0.005,10,0.5324342077086289
tikhonov_optimal,0.005,10,0.019532563571612486
smoothed_log_bw4,0.005,11,0.10524888867401423
smoothed_log_bw6,0.005,11,0.02720481403432569
fd_grid_ratio_bw4,0.005,11,0.5715379576455043
tikhonov_optimal,0.005,11,0.01573685179004954
smoothed_log_bw4,0.005,12,0.1291109906229705
smoothed_log_bw6,0.005,12,0.027533324209584494
fd_grid_ratio_bw4,0.005,12,0.5190111443056356
tikhonov_optimal,0.005,12,0.014654165918206829
smoothed_log_bw4,0.005,13,0.14670566959546016
smoothed_log_bw6,0.005,13,0.027499248000541657
fd_grid_ratio_bw4,0.005,13,0.44941272707032603
tikhonov_optimal,0.005,13,0.015171645462082604
smoothed_log_bw4,0.005,14,0.10951448970523098
smoothed_log_bw6,0.005,14,0.027519306807069096
fd_grid_ratio_bw4,0.005,14,0.7149470304409045
tikhonov_optimal,0.005,14,0.012498270087231396
smoothed_log_bw4,0.005,15,0.13836605470352215
smoothed_log_bw6,0.005,15,0.028325857625005044
fd_grid_ratio_bw4,0.005,15,0.5497466681126784
tikhonov_optimal,0.005,15,0.01698360155204307
smoothed_log_bw4,0.005,16,0.16327654675021722
smoothed_log_bw6,0.005,16,0.02788170744164699
fd_grid_ratio_bw4,0.005,16,0.4564418679764996
tikhonov_optimal,0.005,16,0.012812897363492
smoothed_log_bw4,0.005,17,0.10196487621108853
smoothed_log_bw6,0.005,17,0.026602880484004117
fd_grid_ratio_bw4,0.005,17,0.5035992460113038
tikhonov_optimal,0.005,17,0.016818772368263693
smoothed_log_bw4,0.005,18,0.14904818909493464
smoothed_log_bw6,0.005,18,0.02806162242698832
fd_grid_ratio_bw4,0.005,18,0.5708557630367799
tikhonov_optimal,0.005,18,0.017089026452933333
smoothed_log_bw4,0.005,19,0.08933429332245528
smoothed_log_bw6,0.005,19,0.025592384149845358
fd_grid_ratio_bw4,0.005,19,0.462000996968262
tikhonov_optimal,0.005,19,0.013011227235061434
smoothed_log_bw4,0.005,20,0.09830703957097829
smoothed_log_bw6,0.005,20,0.027909258260280664
fd_grid_ratio_bw4,0.005,20,0.6493395012807239
tikhonov_optimal,0.005,20,0.018837778286318295
smoothed_log_bw4,0.005,21,0.10956176100140334
smoothed_log_bw6,0.005,21,0.026026475717013605
fd_grid_ratio_bw4,0.005,21,0.4577353287163444
tikhonov_optimal,0.005,21,0.014836577539593767
smoothed_log_bw4,0.005,22,0.14116498377570458
smoothed_log_bw6,0.005,22,0.027913506202094297
fd_grid_ratio_bw4,0.005,22,0.5134887535556122
tikhonov_optimal,0.005,22,0.016854456519793507
smoothed_log_bw4,0.005,23,0.14768312420055282
smoothed_log_bw6,0.005,23,0.027261675766422706
fd_grid_ratio_bw4,0.005,23,0.5199784935619094
tikhonov_optimal,0.005,23,0.017094779999818694
smoothed_log_bw4,0.005,24,0.09994240730032034
smoothed_log_bw6,0.005,24,0.026537887473023995
fd_grid_ratio_bw4,0.005,24,0.4333580131767059
tikhonov_optimal,0.005,24,0.018241417827284168
smoothed_log_bw4,0.01,0,0.3189511036336497
smoothed_log_bw6,0.01,0,0.033179310931175966
fd_grid_ratio_bw4,0.01,0,0.5071322396986396
tikhonov_optimal,0.01,0,0.018560049850249394
smoothed_log_bw4,0.01,1,0.11404043460397288
smoothed_log_bw6,0.01,1,0.026777121919896462
fd_grid_ratio_bw4,0.01,1,0.5000381902251654
tikhonov_optimal,0.01,1,0.017431077302579714
smoothed_log_bw4,0.01,2,0.15798020447998748
smoothed_log_bw6,0.01,2,0.029655741240674504
fd_grid_ratio_bw4,0.01,2,0.5051696316415079
tikhonov_optimal,0.01,2,0.019874534089996787
smoothed_log_bw4,0.01,3,0.2103151905304809
smoothed_log_bw6,0.01,3,0.030113451257963168
fd_grid_ratio_bw4,0.01,3,0.5254893830046589
tikhonov_optimal,0.01,3,0.022186147596845444
smoothed_log_bw4,0.01,4,0.25939142746652427
smoothed_log_bw6,0.01,4,0.03171386774934969
fd_grid_ratio_bw4,0.01,4,0.6841825014128913
tikhonov_optimal,0.01,4,0.02183417015202105
smoothed_log_bw4,0.01,5,0.23387072897500494
smoothed_log_bw6,0.01,5,0.033325922664384444
fd_grid_ratio_bw4,0.01,5,0.6798233105799333
tikhonov_optimal,0.01,5,0.02477528913282501
smoothed_log_bw4,0.01,6,0.2373449054514511
smoothed_log_bw6,0.01,6,0.031121138872161575
fd_grid_ratio_bw4,0.01,6,0.48698045599270584
tikhonov_optimal,0.01,6,0.019879852475173727
smoothed_log_bw4,0.01,7,0.21177370844935325
smoothed_log_bw6,0.01,7,0.032234757971807075
fd_grid_ratio_bw4,0.01,7,0.6638889522780149
tikhonov_optimal,0.01,7,0.02215147106530213
