study,block,a,kh,N,status,censored,failure_step,failure_message,b,d,e_2k,e_2k_particle,e_k,e_k_particle,gap,harmonic_dominant,min_u,pred_e_2k,pred_e_k,r1,r2
crossover,continuum,0.35,0.23,none,completed,False,,,0.04900227619045359,0.022919863615364466,0.006203839792858283,nan,-0.008145394956736706,nan,-0.0019415551638784223,False,0.6769812971868605,0.006186437721395343,-0.008137975859133345,-0.0027060896502806423,0.01223882636000198
crossover,continuum,0.35,0.264,none,completed,False,,,0.05941587049168957,0.029963045186012782,0.007507510329289089,nan,-0.010646477092703855,nan,-0.0031389667634147654,False,0.6756300425048597,0.0074949793998879775,-0.010638011106176007,-0.0035205898792194257,0.01442967194708918
crossover,continuum,0.35,0.29,none,completed,False,,,0.06691587747423156,0.03591624317028641,0.008443000654198105,nan,-0.012759547559178665,nan,-0.00431654690498056,False,0.6767607716398657,0.00843284694365082,-0.012750479671882578,-0.004193459178596709,0.015703587042562632
crossover,continuum,0.5,0.23,none,completed,False,,,0.04900227619045359,0.022919863615364466,0.013182762128152977,nan,-0.011850149833585403,nan,0.0013326122945675738,True,0.5674042915429715,0.01301549569511352,-0.011798193013967314,-0.0027060896502806423,0.01223882636000198
crossover,continuum,0.5,0.264,none,completed,False,,,0.05941587049168957,0.029963045186012782,0.0158681014153566,nan,-0.015476588603143205,nan,0.0003915128122133939,True,0.5548224626060657,0.015755822119615466,-0.015421596327908819,-0.0035205898792194257,0.01442967194708918
crossover,continuum,0.5,0.29,none,completed,False,,,0.06691587747423156,0.03591624317028641,0.017799876392056407,nan,-0.018539777535200055,nan,-0.0007399011431436474,False,0.5530581656196212,0.017710443558718054,-0.018482303982467793,-0.004193459178596709,0.015703587042562632
crossover,continuum,0.55,0.23,none,completed,False,,,0.04900227619045359,0.022919863615364466,0.01625825172654896,nan,-0.013147739200167279,nan,0.0031105125263816823,True,0.5291895474634621,0.015943117652217145,-0.0130561506540159,-0.0027060896502806423,0.01223882636000198
crossover,continuum,0.55,0.264,none,completed,False,,,0.05941587049168957,0.029963045186012782,0.01949733140926647,nan,-0.017157636131634117,nan,0.002339695277632354,True,0.518486581291609,0.019293705992344427,-0.017065412993462162,-0.0035205898792194257,0.01442967194708918
crossover,continuum,0.55,0.29,none,completed,False,,,0.06691587747423156,0.03591624317028641,0.02183988219692661,nan,-0.020546782459786462,nan,0.0012930997371401465,True,0.514783883911357,0.02167902929776855,-0.020451620514496553,-0.004193459178596709,0.015703587042562632
crossover,continuum,0.6,0.23,none,completed,False,,,0.04900227619045359,0.022919863615364466,0.019798943788361476,nan,-0.014495420229572497,nan,0.00530352355878898,True,0.4858092207767706,0.01922697132481955,-0.014336433533679298,-0.0027060896502806423,0.01223882636000198
crossover,continuum,0.6,0.264,none,completed,False,,,0.05941587049168957,0.029963045186012782,0.02361232783373656,nan,-0.018887684537394443,nan,0.004724643296342118,True,0.4844626202684787,0.023259798861351,-0.018738274525519065,-0.0035205898792194257,0.01442967194708918
crossover,continuum,0.6,0.29,none,completed,False,,,0.06691587747423156,0.03591624317028641,0.026400640086558746,nan,-0.022607271922519507,nan,0.003793368164039239,True,0.47821194082349094,0.026124900771439478,-0.022455533084748736,-0.004193459178596709,0.015703587042562632
crossover,particle,0.35,0.264,4000,completed,False,,,0.05941587049168957,0.029963045186012782,0.007507510329289089,0.006654322492451454,-0.010646477092703855,-0.02239557431414892,-0.0031389667634147654,False,0.6756300425048597,0.0074949793998879775,-0.010638011106176007,-0.0035205898792194257,0.01442967194708918
crossover,particle,0.35,0.264,10000,completed,False,,,0.05941587049168957,0.029963045186012782,0.007507510329289089,0.006654305725142127,-0.010646477092703855,-0.022395573373744045,-0.0031389667634147654,False,0.6756300425048597,0.0074949793998879775,-0.010638011106176007,-0.0035205898792194257,0.01442967194708918
crossover,particle,0.6,0.264,4000,completed,False,,,0.05941587049168957,0.029963045186012782,0.02361232783373656,0.02091320586878889,-0.018887684537394443,-0.03900362529241594,0.004724643296342118,True,0.4844626202684787,0.023259798861351,-0.018738274525519065,-0.0035205898792194257,0.01442967194708918
crossover,particle,0.6,0.264,10000,completed,False,,,0.05941587049168957,0.029963045186012782,0.02361232783373656,0.02091374474616363,-0.018887684537394443,-0.039003644998631966,0.004724643296342118,True,0.4844626202684787,0.023259798861351,-0.018738274525519065,-0.0035205898792194257,0.01442967194708918
