study,case,eta,seed,arm,selection,tau,status,censored,failure_step,failure_message,E2_at_selection,E2_tikhonov_projected,E2_tikhonov_raw,coarse_winner_z,delta_nom,delta_real,evaluations,lambda_selected,residual_at_selection,selection_label,target_residual,z_selected
lambda_noise,C1,0.001,2,R,oracle_continuous,none,completed,False,,,0.0015731345207962825,0.001547236676308699,0.0015731345207962825,-3.40625,0.001193019720799108,0.001191539942296475,77,0.00039660954811363155,0.001289179058531484,oracle_continuous,nan,-3.401636834651271
lambda_noise,C1,0.001,2,R,residual,1.2,completed,False,,,0.001701780417829092,0.0016265800513248177,0.001701780417829092,nan,0.001193019720799108,0.001191539942296475,73,0.0006211147390305177,0.001431623664520592,morozov,0.0014316236649589294,-3.206828164839664
lambda_noise,C1,0.001,2,R,residual,1.0,completed,False,,,0.0019474984697225677,0.0019485896337879825,0.0019474984697225677,nan,0.001193019720799108,0.001191539942296475,73,0.00013056350298099818,0.0011930197204690933,morozov,0.001193019720799108,-3.8841782064386425
lambda_noise,C1,0.001,2,P,oracle_continuous,none,completed,False,,,0.0015731345207962825,0.001547236676308699,0.0015731345207962825,-3.40625,0.001193019720799108,0.001191539942296475,77,0.00039660954811363155,0.001289179058531484,oracle_continuous,nan,-3.401636834651271
lambda_noise,C1,0.001,2,P,residual,1.2,completed,False,,,0.001701780417829092,0.0016265800513248177,0.001701780417829092,nan,0.001193019720799108,0.001191539942296475,73,0.0006211147390305177,0.001431623664520592,morozov,0.0014316236649589294,-3.206828164839664
lambda_noise,C1,0.001,2,P,residual,1.0,completed,False,,,0.0019474984697225677,0.0019485896337879825,0.0019474984697225677,nan,0.001193019720799108,0.001191539942296475,73,0.00013056350298099818,0.0011930197204690933,morozov,0.001193019720799108,-3.8841782064386425
lambda_noise,C1,0.001,3,R,oracle_continuous,none,completed,False,,,0.0017484989336282166,0.0017232678386131515,0.0017484989336282166,-3.40625,0.0011931011975382004,0.0011603031456984278,76,0.0003438413664486183,0.001235990777635525,oracle_continuous,nan,-3.4636418759338454
lambda_noise,C1,0.001,3,R,residual,1.2,completed,False,,,0.0019596010287419173,0.0018694263755176437,0.0019596010287419173,nan,0.0011931011975382004,0.0011603031456984278,73,0.0006528298399716815,0.0014317214329346865,morozov,0.0014317214370458404,-3.1852000027853533
lambda_noise,C1,0.001,3,R,residual,1.0,completed,False,,,0.001783226822552579,0.001772399776045241,0.001783226822552579,nan,0.0011931011975382004,0.0011603031456984278,73,0.00023862321477464795,0.0011931011950469233,morozov,0.0011931011975382004,-3.622287307697992
lambda_noise,C1,0.001,3,P,oracle_continuous,none,completed,False,,,0.0017484989336282166,0.0017232678386131515,0.0017484989336282166,-3.40625,0.0011931011975382004,0.0011603031456984278,76,0.0003438413664486183,0.001235990777635525,oracle_continuous,nan,-3.4636418759338454
lambda_noise,C1,0.001,3,P,residual,1.2,completed,False,,,0.0019596010287419173,0.0018694263755176437,0.0019596010287419173,nan,0.0011931011975382004,0.0011603031456984278,73,0.0006528298399716815,0.0014317214329346865,morozov,0.0014317214370458404,-3.1852000027853533
lambda_noise,C1,0.001,3,P,residual,1.0,completed,False,,,0.001783226822552579,0.001772399776045241,0.001783226822552579,nan,0.0011931011975382004,0.0011603031456984278,73,0.00023862321477464795,0.0011931011950469233,morozov,0.0011931011975382004,-3.622287307697992
lambda_noise,C1,0.001,4,R,oracle_continuous,none,completed,False,,,0.0014415962325849258,0.0013791152487684132,0.0014415962325849258,-3.40625,0.001193256754864713,0.0011445580748432355,76,0.00035380468912650417,0.0012267661915711552,oracle_continuous,nan,-3.451236415495627
lambda_noise,C1,0.001,4,R,residual,1.2,completed,False,,,0.0017731785992756502,0.001620060228806569,0.0017731785992756502,nan,0.001193256754864713,0.0011445580748432355,73,0.0006685199659475943,0.0014319080985123558,morozov,0.0014319081058376557,-3.1748856176145925
lambda_noise,C1,0.001,4,R,residual,1.0,completed,False,,,0.0014810363969502117,0.0014399477398410105,0.0014810363969502117,nan,0.001193256754864713,0.0011445580748432355,73,0.0002783538500215355,0.0011932567547348176,morozov,0.001193256754864713,-3.555402767417777
lambda_noise,C1,0.001,4,P,oracle_continuous,none,completed,False,,,0.0014415962325849258,0.0013791152487684132,0.0014415962325849258,-3.40625,0.001193256754864713,0.0011445580748432355,76,0.00035380468912650417,0.0012267661915711552,oracle_continuous,nan,-3.451236415495627
lambda_noise,C1,0.001,4,P,residual,1.2,completed,False,,,0.0017731785992756502,0.001620060228806569,0.0017731785992756502,nan,0.001193256754864713,0.0011445580748432355,73,0.0006685199659475943,0.0014319080985123558,morozov,0.0014319081058376557,-3.1748856176145925
lambda_noise,C1,0.001,4,P,residual,1.0,completed,False,,,0.0014810363969502117,0.0014399477398410105,0.0014810363969502117,nan,0.001193256754864713,0.0011445580748432355,73,0.0002783538500215355,0.0011932567547348176,morozov,0.001193256754864713,-3.555402767417777
lambda_noise,C1,0.001,5,R,oracle_continuous,none,completed,False,,,0.001211490075028322,0.0011897625594397589,0.001211490075028322,-3.578125,0.0011931019736091634,0.0012151684270466905,76,0.0002728154066863237,0.0012543993139798656,oracle_continuous,nan,-3.564131107439606
lambda_noise,C1,0.001,5,R,residual,1.2,completed,False,,,0.0015875230132593753,0.0014950648193098942,0.0015875230132593753,nan,0.0011931019736091634,0.0012151684270466905,72,0.0005960922751849673,0.001431722270403493,morozov,0.001431722368330996,-3.2246865061964916
lambda_noise,C1,0.001,5,R,residual,1.0,completed,True,,,22.662329376765243,2.556950521287188,22.662329376765243,nan,0.0011931019736091634,0.0012151684270466905,66,1e-12,0.0012008147156554743,endpoint,0.0011931019736091634,-12.0
