study,case,h,eta,seed,arm,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
noise_paired,C1,0.014,0.001,1,R,completed,False,,,5.731641543227148e-14,3.3374414195369164e-11,0.6537460713093904,182,195,1.1655403368018713,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.06645597560091498,True,True,0.0,4.441010195595284e-16,0.9999734076055999,112.45702889444236,0.23027837223800218,0.07860186508792211,0.23027838223773625,0.0,0.0,1.2557281372473084e-11,51.01390398963666,2.9999151839096183
noise_paired,C1,0.02,0.001,1,R,completed,False,,,4.52762855190108e-14,1.8421929331026025e-11,0.6766702405518412,127,136,1.4234804123633973,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.048140589464916034,True,True,0.0,3.330757646696463e-16,0.9999734076055998,90.92092399991506,0.13961195451697606,0.04864098640944692,0.13961196451671012,0.0,0.0,2.9791659424565557e-12,35.655886061795535,2.9999151839096183
noise_paired,C1,0.028,0.001,1,R,completed,False,,,2.349305783335919e-14,6.860696445390737e-12,0.2678596616910579,91,98,0.412762279040405,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.011979234014329408,True,True,0.0,3.330757646696463e-16,0.9999734076055998,45.853661579046914,0.1632812249135498,0.16165030455841245,0.16328123491328386,0.0,0.0,7.515778748073242e-15,11.618019599889362,2.9999151839096183
noise_paired,C1,0.04,0.001,1,R,completed,False,,,2.8197037793761675e-14,5.719421898965115e-12,0.04353192016561516,63,68,0.054703761280120985,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.018116623268260332,True,True,0.0,3.330757646696463e-16,0.9999734076055998,4.503198405905669,0.5789688355164575,0.5786865504855816,0.5789688455161915,0.0,0.0,2.5606606363600334e-16,2.6195722204771013,2.9999151839096183
noise_paired,C1,0.005,0.001,1,P,completed,False,,,1.5165565067886501e-13,2.4747190879571375e-10,0.7998766873232936,511,547,1.6882211593969034,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.08245003319608261,True,True,0.0,7.771767842291747e-16,0.9999734076056003,334.30508777729307,0.1534161572223537,0.0037956866805575196,0.15341616722208776,0.0,0.0,1.2414079694611833e-11,144.78400444888626,2.9999151839096183
noise_paired,C1,0.007,0.001,1,P,completed,False,,,1.0544296136484826e-13,1.2294894352508023e-10,0.8146614807686047,365,391,1.5429249409062424,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.08129672756113272,True,True,0.0,5.551262744494105e-16,0.9999734076056,293.0767344497284,0.10709045756642521,0.013062160786794896,0.1070904675661593,0.0,0.0,5.219059148779936e-10,108.68285651004751,2.9999151839096183
noise_paired,C1,0.01,0.001,1,P,completed,False,,,8.054676923347326e-14,6.56579301402393e-11,0.7086000085484015,255,273,1.4127699353480652,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.07773870066339873,True,True,0.0,2.220505097797642e-16,0.9999734076055997,144.5757999991298,0.2698004967148272,0.021359529610054162,0.2698005067145613,0.0,0.0,3.100419574332171e-12,70.93291881666879,2.9999151839096183
noise_paired,C1,0.014,0.001,1,P,completed,False,,,5.731641543227148e-14,3.3374414195369164e-11,0.6537460713093904,182,195,1.1655403368018713,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.06645597560091498,True,True,0.0,4.441010195595284e-16,0.9999734076055999,112.45702889444236,0.23027837223800218,0.07860186508792211,0.23027838223773625,0.0,0.0,1.2557281372473084e-11,51.01390398963666,2.9999151839096183
noise_paired,C1,0.02,0.001,1,P,completed,False,,,4.52762855190108e-14,1.8421929331026025e-11,0.6766702405518412,127,136,1.4234804123633973,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.048140589464916034,True,True,0.0,3.330757646696463e-16,0.9999734076055998,90.92092399991506,0.13961195451697606,0.04864098640944692,0.13961196451671012,0.0,0.0,2.9791659424565557e-12,35.655886061795535,2.9999151839096183
noise_paired,C1,0.028,0.001,1,P,completed,False,,,2.349305783335919e-14,6.860696445390737e-12,0.2678596616910579,91,98,0.412762279040405,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.011979234014329408,True,True,0.0,3.330757646696463e-16,0.9999734076055998,45.853661579046914,0.1632812249135498,0.16165030455841245,0.16328123491328386,0.0,0.0,7.515778748073242e-15,11.618019599889362,2.9999151839096183
noise_paired,C1,0.04,0.001,1,P,completed,False,,,2.8197037793761675e-14,5.719421898965115e-12,0.04353192016561516,63,68,0.054703761280120985,0.0011931599437888468,0.0011618301521510895,9.999734076055995e-09,0.018116623268260332,True,True,0.0,3.330757646696463e-16,0.9999734076055998,4.503198405905669,0.5789688355164575,0.5786865504855816,0.5789688455161915,0.0,0.0,2.5606606363600334e-16,2.6195722204771013,2.9999151839096183
noise_paired,C1,0.005,0.001,2,R,completed,False,,,1.516723616761834e-13,2.4749917782516137e-10,0.8319896123150121,511,547,1.7266800362544314,0.001193019720799108,0.001191539942296475,1.0000835950787214e-08,0.0824300666643901,True,True,0.0,2.220260446403514e-16,1.0000835950787212,339.0245396260809,0.18179241521929612,0.0009401975482172809,0.18179242522013206,0.0,0.0,1.1226770643854707e-10,149.8960359057254,2.9999151839096183
noise_paired,C1,0.007,0.001,2,R,completed,False,,,1.0545458016729134e-13,1.2296249131875853e-10,0.7631266166376901,365,391,1.479116076787393,0.001193019720799108,0.001191539942296475,1.0000835950787214e-08,0.08243417012549738,True,True,0.0,2.220260446403514e-16,1.0000835950787212,273.2149607468009,0.11798289044826304,0.001420488844249057,0.117982900449099,0.0,0.0,3.10375201548805e-12,104.50833248662204,2.9999151839096183
noise_paired,C1,0.01,0.001,2,R,completed,False,,,8.055564471446351e-14,6.566516501404449e-11,0.667024657787877,255,273,1.3092730304036135,0.001193019720799108,0.001191539942296475,1.0000835950787214e-08,0.07872645815089843,True,True,0.0,2.220260446403514e-16,1.0000835950787212,158.2749759768715,0.16868214493821876,0.030748392923378054,0.1686821549390547,0.0,0.0,7.409584615127098e-11,71.20547564795352,2.9999151839096183
noise_paired,C1,0.014,0.001,2,R,completed,False,,,5.732273115120646e-14,3.337809173553087e-11,0.7462766972329249,182,195,1.6058576832138312,0.001193019720799108,0.001191539942296475,1.0000835950787214e-08,0.0654977240668801,True,True,0.0,2.220260446403514e-16,1.0000835950787217,113.61198718854597,0.21488066028173158,0.005784602656443205,0.21488067028256752,0.0,0.0,4.664241720602786e-12,51.59593859856835,2.9999151839096183
noise_paired,C1,0.02,0.001,2,R,completed,False,,,4.528127453117426e-14,1.842395925084947e-11,0.540313126963771,127,136,0.7988237243669203,0.001193019720799108,0.001191539942296475,1.0000835950787214e-08,0.05397320585161288,True,True,0.0,0.0,1.0000835950787215,77.75030459296038,0.1674542957629941,0.0677643970608911,0.16745430576383002,0.0,0.0,8.46120185375227e-12,33.0483175182172,2.9999151839096183
