test,n_grid,method_name,method_type,n_particles,globs_per_jump,recon_method,bandwidth_factor,bandwidth_used,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds,dt,sweep_method
B,400,oracle_score_deterministic,gradient_glob_oracle,0,80,,,,True,,,,0.17481282485525226,0.06582725607157361,0.17522121866788565,0.059872062389439214,4.010327738745546e-05,-0.17456645538030424,1.6500196586135336,0.8250928876432287,0.825157674083047,0.8250633005406746,0.4000011949927364,0.08003458656575717,True,0.0016375717439051868,0.1655243573933734,0.20053020436628352,0.021174833178520203,0.002,gradient_glob_oracle
B,400,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.010025062656641603,True,,,0.004709830429497109,0.007046595568325552,0.0026534554961460265,0.008110839969273753,0.0018798924262139168,0.0005199845275412105,-1.8213145349439583e-05,1.9836578318485536,0.9918106460183708,0.9918885231661339,0.9918866016543827,0.4000000028302004,0.08065444425027667,True,0.00010686917854490553,0.20052655208052445,0.20053020436628352,0.02549312519840896,0.002,density_particle_oracle
B,400,oracle_score_deterministic,gradient_glob_oracle,0,80,,,,True,,,,0.17486564910415234,0.06584714749179414,0.17522121866788565,0.059901005827191094,3.105388381499824e-05,-0.1747076499671091,1.6500196586135336,0.8250928876432287,0.825157674083047,0.8251145969472538,0.4000166832910699,0.08001435957968699,True,0.001637356428595877,0.165496043614026,0.20053020436628352,0.0508582079783082,0.001,gradient_glob_oracle
B,400,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.010025062656641603,True,,,0.004709830429497109,0.006940816732775956,0.002613623575916823,0.007989115979836536,0.0018551283856938418,0.0005121043355924995,-1.8213145349162763e-05,1.983901228893472,0.991932370007808,0.9920102567133603,0.992008353757507,0.4000000028301109,0.08064454529535947,True,0.00010685639426510747,0.2005265520805245,0.20053020436628352,0.01837374991737306,0.001,density_particle_oracle
B,400,oracle_score_deterministic,gradient_glob_oracle,0,80,,,,True,,,,0.1748656500361268,0.06584714784273706,0.17522121866788565,0.05990101444406294,3.091672375193911e-05,-0.17470846971499066,1.6500196586135334,0.8250928876432287,0.825157674083047,0.8251146089875077,0.40001668259887013,0.08001435706122635,True,0.0016373564777918787,0.1654958792298158,0.20053020436628352,0.09584754100069404,0.0005,gradient_glob_oracle
B,400,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.010025062656641603,True,,,0.004709830429497109,0.006887925758295181,0.0025937070296113453,0.007928248281869554,0.0018427466803995647,0.0005081645778898152,-1.8213145349301175e-05,1.9840229268787952,0.991993237705775,0.9920711291906698,0.9920692355162266,0.4000000028300661,0.08063959626513909,True,0.00010685000290790143,0.20052655208052447,0.20053020436628352,0.027089458890259266,0.0005,density_particle_oracle
B,400,oracle_score_deterministic,gradient_glob_oracle,0,80,,,,True,,,,0.17498897690172113,0.06589358762293455,0.17522121866788565,0.05995176512425525,2.7460445403319283e-05,-0.17489257819497195,1.6500196586135334,0.8250928876432287,0.825157674083047,0.8250878417910107,0.3999910030036113,0.07999561170001546,True,0.0016374062000604013,0.16545895991869958,0.20053020436628352,0.16928775003179908,0.00025,gradient_glob_oracle
B,400,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.010025062656641603,True,,,0.004709830429497109,0.006861479918916207,0.0025837486238578264,0.007897813041830015,0.0018365559136484984,0.0005061947858585942,-1.8213145349301175e-05,1.9840837756690186,0.9920236729458145,0.9921015668204898,0.9920996777876135,0.4000000028300437,0.0806371218646648,True,0.0001068468074286195,0.20052655208052447,0.20053020436628352,0.09674570802599192,0.00025,density_particle_oracle
