study,case,h,eps_rel,N,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
adequacy_N,C1,0.028,1e-08,1000,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.025279845443663674,91,98,0.044376869179949964,nan,nan,1e-08,0.00928048419131864,True,True,nan,6.661338147750939e-16,1.0000000000000007,5.408754386085808,0.5619508244060109,0.5617075231795385,0.5619508344060109,nan,nan,2.1634659211069754e-16,2.733104685125155,2.9999151839096183
adequacy_N,C1,0.028,1e-08,2000,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.02524995866090144,91,98,0.04235386402426887,nan,nan,1e-08,0.009280502627604091,True,True,nan,6.661338147750939e-16,1.0000000000000007,5.324145255721037,0.562856877340048,0.5626044043033441,0.562856887340048,nan,nan,2.026239977062614e-16,2.7369808152874366,2.9999151839096183
adequacy_N,C1,0.028,1e-08,4000,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.02525093449851037,91,98,0.04214265474814915,nan,nan,1e-08,0.009280501703243968,True,True,nan,4.440892098500626e-16,1.0000000000000004,5.3299676374946845,0.5634184432806449,0.5631877761745436,0.563418453280645,nan,nan,2.0327994111885198e-16,2.7345327614854336,2.9999151839096183
adequacy_N,C1,0.028,1e-08,8000,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.025250394830659294,91,98,0.04214342655926191,nan,nan,1e-08,0.009280496136120711,True,True,nan,6.661338147750939e-16,1.0000000000000007,5.325726553327588,0.5634494960241074,0.5632188326722147,0.5634495060241075,nan,nan,1.9337600252005847e-16,2.734659186245242,2.9999151839096183
adequacy_N,C1,0.028,1e-08,10000,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.025250823216287896,91,98,0.04213459129370249,nan,nan,1e-08,0.009280498824314101,True,True,nan,6.661338147750939e-16,1.0000000000000007,5.326457259766561,0.5634480677003321,0.5632055798079383,0.5634480777003321,nan,nan,1.878309671387373e-16,2.73460006779934,2.9999151839096183
adequacy_N,H,0.014,1e-08,1000,completed,False,,,1.3425756610951584e-14,7.817599175398334e-12,0.0456210325860956,182,195,0.059358255200444125,nan,nan,2.3423306371629116e-09,0.018366785097124444,True,True,nan,3.554866487497318e-16,0.23423306371629124,24.190329782268083,0.04725017470912676,0.04715995133610962,0.0472501770514574,nan,nan,2.676500839516662e-16,2.0096521912369214,2.163557818161837
adequacy_N,H,0.014,1e-08,2000,completed,False,,,1.3425756610951584e-14,7.817599175398334e-12,0.04561885956065739,182,195,0.05933152849923573,nan,nan,2.3423306371629116e-09,0.018367294354466247,True,True,nan,3.554866487497318e-16,0.23423306371629124,24.148919021254926,0.04735108337966784,0.04726789246798657,0.047351085721998476,nan,nan,2.65510235533256e-16,2.009013528212122,2.163557818161837
adequacy_N,H,0.014,1e-08,4000,completed,False,,,1.3425756610951584e-14,7.817599175398334e-12,0.0456178160275058,182,195,0.05933751991269563,nan,nan,2.3423306371629116e-09,0.01836712296242902,True,True,nan,3.554866487497318e-16,0.23423306371629124,24.11001601708253,0.04734294356015692,0.04727219043101377,0.047342945902487554,nan,nan,2.1909722659061092e-16,2.0090685396362185,2.163557818161837
adequacy_N,H,0.014,1e-08,8000,completed,False,,,1.3425756610951584e-14,7.817599175398334e-12,0.04561770538689201,182,195,0.05934013296668687,nan,nan,2.3423306371629116e-09,0.01836715748237467,True,True,nan,1.1849554958324394e-16,0.23423306371629118,24.129349304942036,0.04733883135578343,0.04727111126877548,0.04733883369811406,nan,nan,1.7919184422204135e-16,2.009086223176605,2.163557818161837
adequacy_N,H,0.014,1e-08,10000,completed,False,,,1.3425756610951584e-14,7.817599175398334e-12,0.045617765795159464,182,195,0.059338748819811146,nan,nan,2.3423306371629116e-09,0.01836716543481057,True,True,nan,2.3699109916648787e-16,0.2342330637162912,24.12795023508555,0.04733913041795823,0.047271806734767496,0.047339132760288866,nan,nan,1.7313380485359508e-16,2.009076278882741,2.163557818161837
