h,n_particles,score_L2,score_Linf
0.02,1000,0.08356458093129393,0.13953152807756464
0.02,4000,0.08356448849016208,0.139405585886605
0.02,16000,0.08356452336706113,0.1394119205533002
0.01,1000,0.021230326558242342,0.03586617861261043
0.01,4000,0.021227325830622232,0.035544007722215554
0.01,16000,0.021227295261693993,0.03549382181862093
