h,mode,mass_error,wall_derivative,damping_error
0.01,4,0.0,1.83220013163246e-15,1.6653345369377348e-16
0.01,12,0.0,1.5480429474588486e-14,2.220446049250313e-16
0.02,4,0.0,1.7893106820915106e-15,1.1102230246251565e-16
0.02,12,0.0,1.2508309163483777e-14,1.6653345369377348e-16
0.04,4,0.0,1.6275604701216026e-15,1.6653345369377348e-16
0.04,12,0.0,5.331642415968161e-15,9.71445146547012e-17
