M,dt,rel_error,order
25,0.0001,2.9883843024666448e-05,
50,0.0001,7.475128276520915e-06,1.9991954469037845
100,0.0001,1.869000039757935e-06,1.9998317370382506
200,0.0001,4.672461263528287e-07,2.0000119911276046
