h,n_particles,M,dt,rel_error_vs_truth,error_over_floor,richardson_diff,richardson_order
0.02,4000,400,0.008,0.006558851536417832,1.1174517421299297,0.0003857924336141857,
0.02,4000,400,0.004,0.006213319228547392,1.0585823383557929,0.00019321600378467124,0.9976102533534137
0.02,4000,400,0.002,0.006042235555350474,1.0294342858953318,9.668815423413461e-05,0.9988035417260862
0.02,4000,400,0.001,0.005957165777938477,1.0149406858429726,4.83641409983554e-05,0.9994013732645537
0.02,4000,400,0.0005,0.005914755997064949,1.007715200823631,2.4187089699042726e-05,0.9997005871199409
0.02,4000,400,0.00025,0.005893583315665866,1.0041079458669364,1.2094800055427827e-05,0.999850268437523
0.02,4000,400,0.000125,0.005883005146710337,1.0023057106337911,,
