bandwidth_rule,M,h,rel_error,predicted_bias_floor
h=8dx,100,0.08,0.08263829395806267,0.08247248819306757
h=8dx,200,0.04,0.023036666947778953,0.02286502219923148
h=8dx,400,0.02,0.006042235555350474,0.005869471843067039
h=8dx,800,0.01,0.0016522460662843582,0.0014771579649745703
